SKU,Published,Visibility in catalog,Regular price
7027uni,1,visible,127.68
7027XL,1,visible,127.68
70272X,1,visible,128.52
70273X,1,visible,129.36
7042S,1,visible,258.72
7042M,1,visible,258.72
7042L ,1,visible,258.72
7042XL,1,visible,258.72
7029XS,1,visible,117.18
70293X,1,visible,118.86
7029X,1,visible,117.18
70292X,1,visible,118.02
7029uni,1,visible,117.18
7029QCuni,1,visible,107
7029QC/XL-2X,1,visible,107
7047uni,1,visible,283.2
7047XL,1,visible,286.8
7047RS,1,visible,354.48
7047RM ,1,visible,354.48
7047RL ,1,visible,354.48
7047RXL,1,visible,354.48
7051R2X,1,visible,146.16
7051RS,1,visible,145.32
7051RM,1,visible,145.32
7051RL,1,visible,145.32
7051RX,1,visible,145.32
8081L,1,visible,411.6
8081X,1,visible,411.6
8081S,1,visible,411.6
8081M,1,visible,411.6
8081RL,1,visible,376.32
8081RX,1,visible,376.32
8081RS,1,visible,376.32
8081RM,1,visible,376.32
8070S,1,visible,614.46
8070M,1,visible,614.46
8070L,1,visible,614.46
8070X,1,visible,614.46
8073L,1,visible,607.32
8073X,1,visible,607.32
8073S,1,visible,607.32
8073M,1,visible,607.32
8076RS,1,visible,385.14
8076RM,1,visible,385.14
8076RL,1,visible,385.14
8076RX,1,visible,385.14
7037uni,1,visible,279.6
7037XL,1,visible,293.58
70372X,1,visible,294.42
7039uni,1,visible,284.8
7039XL,1,visible,299.04
70392X,1,visible,299.88
5075A,1,visible,28
5075B,1,visible,29
82706TB6,1,visible,318
82706SA1,1,visible,136.08
82706SA2,1,visible,157.08
82706SA3,1,visible,158.76
82706SA4,1,visible,148.26
82706SA5,0,visible,129.36
82706SA6,1,visible,155.4
82706SB1,1,visible,151.2
82706SB3 ,1,visible,180.6
82706SG5 ,1,visible,198.24
82706SF6,0,visible,165.48
82710SC1 ,1,visible,162.4
82710SC3 ,1,visible,180.8
82710SG4 ,1,visible,180
7229,0,visible,609.84
7232 S,0,visible,618.24
7226HW,0,visible,514.92
7227HW,0,visible,521.64
7232HW,0,visible,628.32
7267HW,0,visible,625.8
7268HW,0,visible,699.72
7265HW,0,visible,738.36
5030/5030100/5031/5030250,0,visible,
5040,1,visible,26.8
8447,1,visible,44.4
8445,1,visible,24.4
8450,1,visible,26
8447A,1,visible,67.2
8466A,1,visible,36
8366,0,visible,
83662D,1,visible,37.8
8366L,1,visible,28
82624,1,visible,224.7
72706TB1,1,visible,263.2
72706TB2,1,visible,310.8
72706TB3 ,1,visible,298.4
72706TB4 ,1,visible,300.3
72706TB5,1,visible,320
72706TB6,1,visible,308.28
74709TB8,1,visible,361.6
72706SA1,1,visible,120.4
72706SA2,0,visible,146.16
72706SA3,1,visible,146.16
72706SA4,1,visible,139.44
72706SA5,1,visible,155.82
72706SA6,1,visible,142.8
72706SB1,1,visible,138.4
72706SB2,1,visible,162.54
72706SB3,1,visible,165.06
72706SB4,1,visible,158.34
5030,1,visible,1641.36
5030100,1,visible,1654.8
5031,1,visible,1700.16
5030250,1,visible,1832.04
8366,1,visible,31.2
8202,1,visible,28.56
836616,1,visible,29.4
836624,1,visible,31.92
72706SB5,1,visible,175.56
72706SB6,1,visible,162.54
72706SD1,0,visible,136.92
72706SD3,0,visible,142.8
72706SE2,0,visible,149.52
72706SF4,0,visible,149.52
72706SF6,0,visible,133.33
72706SG5,1,visible,183.96
72706SG6,1,visible,169.26
74709SA8,1,visible,180.18
74709SB8,1,visible,188.4
74709SG8,1,visible,204.96
7080,1,visible,
7082,1,visible,
70803D,0,visible,
70823D,0,visible,
7081RD,0,visible,
7083RD,0,visible,
7082RD,0,visible,
7081FD,0,visible,
7083FD,0,visible,
7080FD,0,visible,
7082FD,0,visible,
70823DFD,0,visible,
70672D,0,visible,
70674D,0,visible,
7084,1,visible,
7085,0,visible,
7088,0,visible,
7086,0,visible,
7087,0,visible,
7093,0,visible,
7092,0,visible,
8097,0,visible,
7097,0,visible,
7086FD,0,visible,
7087FD,0,visible,
7091FD,0,visible,
7092FD,0,visible,
8098,0,visible,
7098,0,visible,
8095,0,visible,
8096,0,visible,
83709SA7,1,visible,186.9
83709SB7 ,1,visible,192.8
83809SG9,1,visible,315.42
8021,1,visible,
8001B,1,visible,
8026,1,visible,
8001,0,visible,
70803X,1,visible,194.04
7080SM,1,visible,192.36
7080LX,1,visible,192.36
70802X,1,visible,193.2
7082XS,1,visible,201.6
7082SM,1,visible,201.6
7082LX,1,visible,201.6
70822X,1,visible,202.44
70823X,1,visible,203.28
7080SM3D ,1,visible,169.68
7080LX3D,1,visible,169.68
7082SM3D ,1,visible,185.64
7082LX3D,1,visible,185.64
7081SMRD,1,visible,236.88
7081LXRD,1,visible,236.88
70812XRD,1,visible,237.72
7083LXRD,1,visible,215.88
7083SMRD,1,visible,215.88
7082SMRD,1,visible,177.24
7082XLRD,1,visible,177.24
7081SFD,1,visible,231
7081MFD,1,visible,231
7081LFD,1,visible,231
7081XLFD,1,visible,231
70812XFD,1,visible,231.84
7081XSFD,1,visible,231
7083SFD ,1,visible,243.6
7083MFD ,1,visible,243.6
7083LFD ,1,visible,243.6
7083XFD ,1,visible,243.6
70803XFD,1,visible,190.68
7080SFD,1,visible,189
7080MFD,1,visible,189
7080LFD,1,visible,189
7080XLFD,1,visible,189
70802XFD,1,visible,189.84
7082LFD ,1,visible,199.08
7082XLFD ,1,visible,199.08
7082SFD ,1,visible,199.08
7082MFD ,1,visible,199.08
7082S3DFD,1,visible,182.28
7082M3DFD,1,visible,182.28
7082L3DFD,1,visible,182.28
7082XL3DFD,1,visible,182.28
70672D,1,visible,178
70672DX/2X,1,visible,178
70674D,1,visible,163.8
70674DX/2X,1,visible,163.8
7084XL,1,visible,392.8
7084S,1,visible,392.8
7084M,1,visible,392.8
7084L,1,visible,392.8
7085M,1,visible,349.44
7085L,1,visible,349.44
7085XL,1,visible,349.44
7085S,1,visible,349.44
7088S ,1,visible,276.36
7088M ,1,visible,276.36
7088L ,1,visible,276.36
7088X ,1,visible,276.36
70882X ,1,visible,277.2
7086S,1,visible,236.88
7086M ,1,visible,236.88
7086L ,1,visible,236.88
7086X ,1,visible,236.88
7087M,1,visible,252
7087L,1,visible,252
7087XL,1,visible,252
7087S,1,visible,252
7093S,1,visible,220.08
7093M,1,visible,220.08
7093L,1,visible,220.08
7093X,1,visible,220.08
7092S,1,visible,234.36
7092M,1,visible,234.36
7092L,1,visible,234.36
7092X,1,visible,234.36
8097S,1,visible,210
8097M,1,visible,210
8097L,1,visible,210
8097X,1,visible,210
7097S,1,visible,224.28
7097M,1,visible,224.28
7097L,1,visible,224.28
7097X,1,visible,224.28
7086SFD,1,visible,206.64
7086MFD,1,visible,206.64
7086LFD,1,visible,206.64
7086XFD,1,visible,206.64
7087SFD,1,visible,220.92
7087MFD,1,visible,220.92
7087LFD,1,visible,220.92
7087XLFD,1,visible,220.92
7091XLFD,1,visible,223.44
7091SFD,1,visible,223.44
7091MFD,1,visible,223.44
7091LFD,1,visible,223.44
7092SFD,1,visible,237.72
7092MFD,1,visible,237.72
7092LFD,1,visible,237.72
7092XLFD,1,visible,237.72
8098/uni,1,visible,211.68
8098uni,1,visible,211.68
8098X/2X,1,visible,218.4
7098/uni,1,visible,225.12
7098X/2X,1,visible,225.12
8095u,1,visible,208.32
8095X/2X,1,visible,208.32
8096/uni,1,visible,194.88
8096X/2X,1,visible,194.88
8021S,1,visible,264.6
8021M,1,visible,264.6
8021L,1,visible,264.6
8021XL,1,visible,264.6
8001BS,1,visible,347.76
8001BM,1,visible,347.76
8001BL,1,visible,347.76
8001BX,1,visible,347.76
8026/uni(sm-lg),1,visible,240.24
8026X/2X,1,visible,240.24
8001M,1,visible,255.36
8001L,1,visible,255.36
8001XL,1,visible,255.36
8001S,1,visible,255.36
8011,0,visible,
8006,1,visible,
8016,0,visible,
8007,1,visible,
8031,1,visible,
8035,1,visible,
8033,0,visible,
8037,0,visible,
8039,1,visible,
7055,1,visible,
7056,1,visible,
7095,1,visible,
7060,1,visible,
7090,1,visible,
727650LE,1,visible,562.8
82709TB1,1,visible,415.2
82709TB3,1,visible,449.6
82709TB4,1,visible,456.96
82709TB5,1,visible,493.92
82709SA1,1,visible,197.2
82709SA3,1,visible,226.38
82709SA4,1,visible,208
82709SA5,1,visible,236.88
7016B,1,visible,
7017B,1,visible,
7018B,1,visible,
7073B,1,visible,
7006B,1,visible,
7008B,0,visible,
7009B,1,visible,
7010B,1,visible,
7078B,1,visible,
7079B,1,visible,
8366LAF,1,visible,46.62
7055B,0,visible,
7074B,1,visible,
7080B,1,visible,
7080BR,0,visible,
7080B3D,1,visible,
7080BFD,1,visible,
7081B,1,visible,
7081BR,0,visible,
7081BFD,1,visible,
7082B,1,visible,
7082B3D,1,visible,
7082BFD,1,visible,
7083B,1,visible,
7083BDF,1,visible,
7086B,1,visible,
7086BR,1,visible,
8011S,1,visible,136.08
8011M,1,visible,136.08
8011L,1,visible,136.08
8011X,1,visible,136.08
8006S,1,visible,154.14
8006M,1,visible,154.14
8006L,1,visible,154.14
8006XL,1,visible,154.14
8016XL,1,visible,126
8016M,1,visible,126
8016L,1,visible,126
8016S,1,visible,126
8007S,1,visible,190.68
8007M,1,visible,190.68
8007L,1,visible,190.68
8007XL,1,visible,190.68
8031S,1,visible,182.7
8031M,1,visible,182.7
8031L,1,visible,182.7
8031XL,1,visible,182.7
8035S,1,visible,224.7
8035M,1,visible,224.7
8035L,1,visible,224.7
8035XL,1,visible,224.7
8033M,1,visible,189
8033L,1,visible,189
8033X,1,visible,189
8033S,1,visible,189
8037S,1,visible,189
8037M,1,visible,189
8037L,1,visible,189
8037XL,1,visible,189
8039S,1,visible,286.02
8039M,1,visible,286.02
8039L,1,visible,286.02
8039XL,1,visible,286.02
7055S,1,visible,40.74
7055M,1,visible,40.74
7055L,1,visible,40.74
7055XL,1,visible,40.74
70552X,1,visible,40.74
7056S,1,visible,47.04
7056M,1,visible,47.04
7056L,1,visible,47.04
7056XL,1,visible,47.04
7095S,1,visible,43.68
7095M,1,visible,43.68
7095L,1,visible,43.68
7095XL,1,visible,43.68
70952X,1,visible,43.68
70953X,1,visible,43.68
70954X,1,visible,43.68
7060S,1,visible,37.8
7060M,1,visible,37.8
7060L,1,visible,37.8
7060XL,1,visible,37.8
7090L,1,visible,44.1
7090XL,1,visible,44.1
70902X,1,visible,44.1
70903X,1,visible,44.1
7090S,1,visible,44.1
7090M,1,visible,44.1
7016B/uni(sm-lg),1,visible,56.8
7016BX/2X,1,visible,57.6
7017B/uni(sm-lg),1,visible,62.8
7017BX/2X,1,visible,63.6
7018B,1,visible,71.2
7018BX/2X,1,visible,72
7073B2X,1,visible,83.6
7073BLX,1,visible,82.8
7073BSM-MD,1,visible,82.8
7006B,1,visible,68.88
7006B,1,visible,68.88
7006B,1,visible,68.88
7006B,1,visible,69.72
7006B,1,visible,70.56
7008B-L,1,visible,73.08
7008B-X,1,visible,73.08
7008XS,1,visible,73.08
7008B-S,1,visible,73.08
7008B-M,1,visible,73.08
7009B,1,visible,76.44
7009B,1,visible,77.28
7009B,1,visible,78.12
7009B,1,visible,76.44
7009B,1,visible,76.44
7010B3X,1,visible,84.84
7010BXS,1,visible,83.16
7010BSM,1,visible,79.2
7010BLX,1,visible,79.2
7010B2X,1,visible,80
7078BLX,1,visible,95.6
7078BSM,1,visible,95.6
7078B2X,1,visible,96.4
7079BSM,1,visible,91.6
7079BLX,1,visible,91.6
7079B2X,1,visible,97.02
7055BS,1,visible,38.64
7055BM,1,visible,38.64
7055BL,1,visible,38.64
7055BXL,1,visible,38.64
7055B2X,1,visible,38.64
7074BLX,1,visible,84.4
7074BSM,1,visible,84.4
7080BS,1,visible,250.74
7080BM,1,visible,238.8
7080BL,1,visible,238.8
7080BXL,1,visible,238.8
7080B2X,1,visible,240
7080B3X,1,visible,252.84
7080BRL,1,visible,229.32
7080BRXL,1,visible,229.32
7080BRS,1,visible,229.32
7080BRM,1,visible,229.32
7080B3DS,1,visible,260.4
7080B3DM,1,visible,260.4
7080B3DL,1,visible,260.4
7080B3DXL,1,visible,260.4
7080BFDXL,1,visible,260.4
7080BFDS,1,visible,260.4
7080BFDM,1,visible,260.4
7080BFDL,1,visible,260.4
7081BL,1,visible,304
7081BXL,1,visible,304
7081B2X,1,visible,304.8
7081B3X,1,visible,320.88
7081BXS,1,visible,319.2
7081BS,1,visible,304
7081BM,1,visible,304
7081BRS,1,visible,293.16
7081BRM,1,visible,293.16
7081BRL,1,visible,293.16
7081BRXL,1,visible,293.16
7081BFDS,1,visible,326.76
7081BFDM,1,visible,326.76
7081BFDL,1,visible,326.76
7081BFDXL,1,visible,326.76
7082BS,1,visible,259.56
7082BM,1,visible,247.2
7082BL,1,visible,247.2
7082BXL,1,visible,247.2
7082B2X,1,visible,248
7082B3X,1,visible,261.24
7082B3DS,1,visible,272.58
7082B3DM,1,visible,272.58
7082B3DL,1,visible,272.58
7082B3DXL,1,visible,272.58
7082BFDS,1,visible,272.58
7082BFDM,1,visible,272.58
7082BFDL,1,visible,272.58
7082BFDXL,1,visible,272.58
7083BL,1,visible,314
7083BXL,1,visible,314
7083B2X,1,visible,314.8
7083B3X,1,visible,331.38
7083BXS,1,visible,329.7
7083BS,1,visible,329.7
7083BM,1,visible,314
7083BFDS,1,visible,334.74
7083BFDM,1,visible,334.74
7083BFDL,1,visible,334.74
7083BFDXL,1,visible,334.74
7086B2X,1,visible,213.78
7086BL,1,visible,212.94
7086BXL,1,visible,212.94
7086BS,1,visible,212.94
7086BM,1,visible,212.94
7086BRS,1,visible,232.26
7086BRM,1,visible,232.26
7086BRL,1,visible,232.26
7086BRXL,1,visible,232.26
7086BFD,1,visible,
7087B,1,visible,
7087BQ,1,visible,
7087BFD,1,visible,
7088B,1,visible,
7088BR,1,visible,
7088BFD,1,visible,
7089B,1,visible,
7089BQ,1,visible,
7089BFD,1,visible,
7092B,1,visible,
7093B,1,visible,
7099B,1,visible,261.24
8099B,0,visible,
8070R,1,visible,
8073R,1,visible,
8084,1,visible,
7021B,1,visible,
7021BFD,1,visible,
7021BQC,1,visible,
7023B,1,visible,
7027B,1,visible,
7029B,1,visible,
7035B,1,visible,
7021FD,1,visible,
7028,1,visible,
7035FD,1,visible,
8092A,0,visible,
8247B,1,visible,67.2
8247BA,1,visible,87.36
8247B3,1,visible,81.9
8247BY,1,visible,87.36
8247BY3,1,visible,122.64
8247BY3A,1,visible,162.54
8247EA,1,visible,111.72
8247EY,1,visible,106.26
8247EY3,1,visible,140.7
8247EY3A,1,visible,178.92
8247EY3R,1,visible,162.54
8247EY3AR,1,visible,201.06
8247ELY3D,1,visible,162.54
8354LE,1,visible,118.02
8354LE3,1,visible,135.66
8354LEY,1,visible,181.02
8354LEYA,1,visible,225.96
8354LEY3,1,visible,208.32
8354LEY3A,1,visible,271.32
8354LEY3D,1,visible,217.56
5071,1,visible,28.98
5073H,1,visible,56.28
7086BFDS,1,visible,225.12
7086BFDM,1,visible,225.12
7086BFDL,1,visible,225.12
7086BFDXL,1,visible,225.12
7087BS,1,visible,226.8
7087BM ,1,visible,226.8
7087BL ,1,visible,226.8
7087BXL ,1,visible,226.8
7087BQS,1,visible,255.78
7087BQM,1,visible,255.78
7087BQL,1,visible,255.78
7087BQXL,1,visible,255.78
7087BFDS,1,visible,241.08
7087BFDM,1,visible,241.08
7087BFDL,1,visible,241.08
7087BFDXL,1,visible,241.08
7088BS,1,visible,282.24
7088BM,1,visible,282.24
7088BL,1,visible,282.24
7088BXL,1,visible,282.24
7088B2X,1,visible,283.5
7088B3X,1,visible,284.34
7088BRS,1,visible,302.82
7088BRM,1,visible,302.82
7088BRL,1,visible,302.82
7088BRXL,1,visible,302.82
7088BFDM,1,visible,295.68
7088BFDL,1,visible,295.68
7088BFDXL,1,visible,295.68
7088BFDS,1,visible,295.68
7089BXL,1,visible,296.52
7089B2X,1,visible,297.36
7089B3X,1,visible,298.2
7089BS,1,visible,296.52
7089BM,1,visible,296.52
7089BL,1,visible,296.52
7089BQS,1,visible,325.5
7089BQM,1,visible,325.5
7089BQL,1,visible,325.5
7089BQXL,1,visible,325.5
7089BFDM,1,visible,310.8
7089BFDL,1,visible,310.8
7089BFDXL,1,visible,310.8
7089BFDS,1,visible,310.8
7092BS,1,visible,236.46
7092BM,1,visible,236.46
7092BL,1,visible,236.46
7092BXL,1,visible,236.46
7093BM,1,visible,222.6
7093BL,1,visible,222.6
7093BXL,1,visible,222.6
7093BS,1,visible,222.6
8099BS,1,visible,246.96
8099BM,1,visible,246.96
8099BL,1,visible,246.96
8099BXL,1,visible,246.96
8070RS,1,visible,669.06
8070RM,1,visible,669.06
8070RL,1,visible,669.06
8070RXL,1,visible,669.06
8073RM,1,visible,654.78
8073RL,1,visible,654.78
8073RXL,1,visible,654.78
8073RS,1,visible,654.78
8084S,1,visible,388.08
8084M,1,visible,388.08
8084L,1,visible,388.08
8084XL,1,visible,388.08
7021Buni,1,visible,164.8
7021BXL,1,visible,164.8
7021B2X,1,visible,173.88
7021BFDM,1,visible,180.18
7021BFDL,1,visible,180.18
7021BFDXL,1,visible,180.18
7021BFD2X,1,visible,181.02
7021BFDS,1,visible,180.18
7021BQC-uni,1,visible,176.4
7021BQCXL,1,visible,176.4
7021BQC2X,1,visible,186.48
7023Buni,1,visible,181.86
7023BXL,1,visible,181.86
7027Buni,1,visible,185.22
7027BXL,1,visible,185.22
7029Buni,1,visible,181.6
7029BXL,1,visible,181.6
7035BL,1,visible,222.4
7035BXL,1,visible,222.4
7035B2X,1,visible,223.2
7035B3X,1,visible,235.2
7035BS,1,visible,233.52
7035BM,1,visible,222.4
7021FDS,1,visible,121.8
7021FDM,1,visible,121.8
7021FDL,1,visible,121.8
7021FDXL,1,visible,121.8
7028-uni,1,visible,109.2
7028X/2X,1,visible,110.46
7035FDS,1,visible,175.98
7035FDM,1,visible,175.98
7035FDL,1,visible,175.98
7035FDXL,1,visible,175.98
8092AS,1,visible,425.88
8092AM,1,visible,425.88
8092AL,1,visible,425.88
8092AXL,1,visible,425.88
7120,1,visible,34.44
8149T,1,visible,72.66
8125,1,visible,49.6
72706TH3,1,visible,323.2
82706SB2,1,visible,178.08
82706SB4,1,visible,172.62
82706SB5,1,visible,191.1
82706SB6,1,visible,176.4
82706SD1,0,visible,147.84
82706SG6,1,visible,184.38
82710SA1,1,visible,143.2
82710SG5,1,visible,207.48
72906SC,1,visible,
72906TB,1,visible,
82909SC,1,visible,
82909TB,1,visible,
82911SC,1,visible,
82911SG,1,visible,
7276100,1,visible,1077.3
7268C,0,visible,554.4
6040422,1,visible,170.52
6401422,1,visible,56.28
6402ADJ,1,visible,123.06
7226C,1,visible,461.2
7227C,1,visible,466.8
7229C,1,visible,501.2
7232C,1,visible,512.4
7268C,1,visible,621.6
7226CLE,1,visible,509.6
7227CLE,1,visible,534
7232CLE,1,visible,574.4
7265CLE,1,visible,739.2
727620LE,1,visible,445.2
72706TH5,1,visible,342
8125T,0,visible,51.24
82710SA4,1,visible,161.7
7227CS,1,visible,451.08
7232CS,1,visible,578.34
7268CS,1,visible,619.92
7265CS,1,visible,733.32
7227CSS,1,visible,565.74
7232CSS,1,visible,681.66
7265CSS,1,visible,751.8
6813150K,1,visible,2012.64
6813300K,0,visible,2279.34
6814150K,1,visible,1742.4
6814300K,1,visible,2096.22
68030T,1,visible,321.6
68035EP,1,visible,144.48
68040B,1,visible,168
72906SC1,1,visible,196
72906SC3,1,visible,244.8
72906SC5,1,visible,276.36
72906SC6,1,visible,218.82
72906TB3,1,visible,471.24
72906TB5,1,visible,497.7
72906TB6,1,visible,394.38
72906TB1,1,visible,372.54
82909SC1,1,visible,233.94
82909SC3,1,visible,286.44
82909SC5,1,visible,305.34
82909SC6,1,visible,250.74
82909TB1,1,visible,429.66
82909TB3,1,visible,524.58
82909TB5,1,visible,547.26
82909TB6,1,visible,438.48
82911SC3,1,visible,343.56
82911SC1,1,visible,296.52
82911SG5,1,visible,367.08
82911SG6,1,visible,320.04
604042250,0,visible,6999.72
7007,1,visible,30.4
8247,0,visible,52.08
5027A,0,visible,11.76
5027B,1,visible,10
5027B10,1,visible,81.6
5027C,0,visible,13.44
5027D,0,visible,12.6
5027E,1,visible,14.28
5066,1,visible,3.78
5075C,0,visible,25.2
7495K,1,visible,199.92
8106,1,visible,64.26
8156,1,visible,48.72
81563,0,visible,
8165A,1,visible,
8165B,1,visible,
8165C,1,visible,
8165D,1,visible,
8165E,1,visible,
82063,0,visible,
8209,1,visible,35.2
82093,1,visible,49.56
8240,1,visible,48.4
82403,1,visible,62.4
82403A,1,visible,84
8240A,1,visible,71.4
8240L,0,visible,47.46
8240Y,1,visible,68.8
8240Y2D,1,visible,85.68
8240Y3,1,visible,91.6
8240Y32D,1,visible,118.44
8240Y32D2R,1,visible,122.64
8240Y3A,1,visible,134.8
8240Y3A2R,0,visible,96.6
8240Y3L,1,visible,91.14
8240YA ,0,visible,102.9
8241Y,1,visible,94
82423AF,1,visible,160.02
82423L,1,visible,147.42
8242AF,1,visible,138
8242L,1,visible,126
8242Y3AF,1,visible,228.06
8242Y3L,1,visible,204.54
8242YAF,1,visible,186.9
8242YL,1,visible,174.3
8243Y,1,visible,198.24
8243Y3,1,visible,218.82
8246,1,visible,54
82463,1,visible,77.28
81533,1,visible,56.28
81543,1,visible,50.4
81563,1,visible,56.28
8165A65,1,visible,146.58
8165A10,1,visible,149.94
8165B10,1,visible,183.54
8165B65,1,visible,180.18
8165C65,1,visible,191.1
8165C10,1,visible,194.88
8165D65,1,visible,204.96
8165D10,1,visible,208.32
8.17E+68,1,visible,199.08
8.17E+13,1,visible,202.44
,1,visible,36.96
82033,1,visible,42
82043,1,visible,42.84
8246Y,0,visible,87.78
8246Y3,1,visible,105.6
82473,0,visible,69.72
8247Y,1,visible,88.2
8247Y3,1,visible,125.58
8250A,1,visible,126
8253,1,visible,39.2
8254LT,0,visible,32.76
82562,1,visible,53.76
825623A,1,visible,84.42
82563,1,visible,
82563A,0,visible,109.2
8256EL,1,visible,51.24
8256EL3,1,visible,70.14
8256ELY,1,visible,95.76
8256ELY3,1,visible,91.2
8256LT,1,visible,40
8256LT3,1,visible,55.44
8256LT3FT,0,visible,40.32
8256LTY,1,visible,60.06
8256LTY2D,0,visible,52.08
8256LTY3,1,visible,78
8257,1,visible,48.27
8259,1,visible,35.2
82593,1,visible,52
82593L,0,visible,51.24
8259L,1,visible,34.44
8259Y,1,visible,52.8
8259Y3,1,visible,77.2
8259Y3L,1,visible,75.18
8259YL,0,visible,43.68
826073,1,visible,
8260732D,1,visible,94.4
826073A,1,visible,121.38
826073A2D,0,visible,121.8
826073ADJ,1,visible,86.52
82608,1,visible,55.6
826082D,1,visible,74.8
,0,visible,
,0,visible,
8356,0,visible,59.64
8357,1,visible,71.82
83573,1,visible,89.88
8357Y,1,visible,84.42
8357Y3,1,visible,114.66
8358,1,visible,98
8358LT,0,visible,89.04
8364,1,visible,37.8
8368,1,visible,71.4
9001HS,1,visible,80.8
82563,1,visible,57.2
C82563,1,visible,60.06
826073,1,visible,74
826073,1,visible,74
830736,1,visible,37.8
8307,1,visible,67.83
830708,1,visible,70.49
830710,1,visible,42.84
9500Z,1,visible,70.4
9503Z,0,visible,94.08
8242,1,visible,124.32
82423,1,visible,137.34
8242Y,1,visible,203.28
8242Y3,1,visible,216.3
8243,1,visible,120.96
82433,1,visible,133.98
8241,1,visible,67.2
8206Y,1,visible,65.52
8256LTL,1,visible,38.22
8149,1,visible,70
8153,1,visible,47.04
8154,1,visible,47.88
820920,1,visible,51.24
820912,1,visible,42
820910,1,visible,40.32
82098,1,visible,38.64
8256,1,visible,40.8
8254,1,visible,42
82543,1,visible,
8260734,1,visible,
8260733FT,1,visible,76.02
C82543,1,visible,59.22
,1,visible,59.22
,1,visible,76.86
,1,visible,76.86
